,id,name,stars,url,ratings,website,phone,address,lattitude,longitude,emails,social_links
0,3WfHsWymKuN2uPLeCnNMIA,CRMD,4.0,https://www.yelp.com/biz/crmd-columbus-2,4.2,https://www.getcrmd.com,8334382763.0,"1190 N High St, Columbus, OH 43201",39.98665331,-83.00513785,,
1,xhnStMiFfouZ1sJl27J4sg,The Pastry Factory,4.5,https://www.yelp.com/biz/the-pastry-factory-columbus,4.6,http://www.mypastryfactory.com,6149289111.0,"59 Spruce St, North Market Downtown, Columbus, OH 43215",39.9718576,-83.0043273,desserts@mypastryfactory.com,https://www.facebook.com/thepastryfactoryllc
2,Nw1Rdd3QzVzq8UP-TrblIQ,Glazed Churro Bar,4.0,https://www.yelp.com/biz/glazed-churro-bar-columbus,4.1,,,,,,,
3,xv3N5G7YssMo4snVPR3gOw,Wali Dessert,4.5,https://www.yelp.com/biz/wali-dessert-columbus,4.3,http://www.walidessert.com,6148261120.0,"1440 Bethel Rd, Columbus, OH 43220",40.0640605,-83.058014,,
4,qwmohUwc2lLl6dalPUrONw,S’wich Social,4.5,https://www.yelp.com/biz/s-wich-social-columbus,4.5,https://www.swichsocial.com,6148245888.0,"869 N Fourth St, Columbus, OH 43201",39.980942399999996,-82.9986379,hello@swichsocial.com,
5,5ATnFOzKlZ3FrEJXAedUJg,Chocolate Café,4.0,https://www.yelp.com/biz/chocolate-caf%C3%A9-columbus-2,4.1,http://www.chocolatecafecolumbus.com,6144852233.0,"1855 Northwest Blvd, Columbus, OH 43212",39.996241,-83.047353,,
6,-gmY1duQzr_0y_f3R3jqyA,Resch's Bakery,4.5,https://www.yelp.com/biz/reschs-bakery-columbus,4.4,http://www.reschbakery.com,6142377421.0,"4061 E Livingston Ave, Columbus, OH 43227",39.944969,-82.88764990000001,,https://www.facebook.com/Reschs.Bakery
7,izriH8neG9doGmwfFwib5A,The Mochi Shop,4.5,https://www.yelp.com/biz/the-mochi-shop-upper-arlington,4.6,http://themochi.shop,,,,,info@themochi.shop,
8,0jFrTHMEyIlHX0i_185tnw,Belle's Bread,4.5,https://www.yelp.com/biz/belles-bread-columbus,4.7,https://bellesbread.japanmarketplace.com,6144517110.0,"1168 Kenny Centre Mall, Columbus, OH 43220",40.05017638,-83.05163333,contact@bellesbread.com,
9,YMYLVE0s53tbpTk5LR9v0g,Tous Les Jours,4.0,https://www.yelp.com/biz/tous-les-jours-columbus-2,4.0,https://www.tljus.com,6143725158.0,"2851 Olentangy River Rd, Columbus, OH 43202",40.01886002,-83.02603397,info@tljus.com,https://www.facebook.com/TousLesJoursUSA/
