thread_id,last_updated,total_url_passed,email_found,social_link_found,completed_urls,total_requests
3,2023-12-16 23:27:42.974897,50,23,10,28,41
1,2023-12-16 23:33:37.644449,50,27,7,28,41
0,2023-12-16 23:28:04.645895,50,26,5,26,42
2,2023-12-16 23:28:21.204928,50,33,9,34,43
3,2023-12-17 00:31:07.415661,200,74,45,94,166
1,2023-12-17 00:30:43.832333,200,92,22,83,164
0,2023-12-17 00:35:21.999458,200,58,19,59,167
2,2023-12-17 00:30:42.956957,200,92,24,85,165
3,2023-12-17 01:19:56.905988,747,361,106,285,593
1,2023-12-17 01:16:29.192147,747,275,110,294,610
0,2023-12-17 01:10:45.061473,747,395,120,320,595
2,2023-12-17 01:21:31.468764,747,371,87,277,594
3,2023-12-17 09:41:34.757142,747,450,143,374,593
1,2023-12-17 09:43:19.990252,747,386,141,395,610
0,2023-12-17 09:43:29.712674,747,534,147,434,595
2,2023-12-17 09:43:38.497042,747,478,119,382,594
3,2023-12-17 14:44:33.565505,14,9,3,6,12
1,2023-12-17 14:44:23.374247,14,6,3,5,14
0,2023-12-17 14:44:45.042742,14,8,3,7,14
2,2023-12-17 14:44:28.126852,14,11,2,8,14
3,2023-12-17 14:48:50.594522,14,9,3,6,12
1,2023-12-17 14:48:46.628618,14,6,3,5,14
0,2023-12-17 14:49:07.422255,14,8,3,7,14
2,2023-12-17 14:48:52.711331,14,11,2,8,14
3,2023-12-17 14:56:28.765033,14,9,3,6,12
1,2023-12-17 14:56:21.991213,14,6,3,5,14
0,2023-12-17 14:56:42.273583,14,8,3,7,14
2,2023-12-17 14:56:28.255290,14,11,2,8,14
3,2023-12-17 15:00:15.928817,14,9,3,6,12
1,2023-12-17 15:00:08.225782,14,6,3,5,14
0,2023-12-17 15:00:31.675518,14,8,3,7,14
2,2023-12-17 15:00:15.470024,14,11,2,8,14
3,2023-12-17 15:02:37.107466,14,9,3,6,12
1,2023-12-17 15:02:28.994021,14,6,3,5,14
0,2023-12-17 15:02:47.391952,14,8,3,7,14
2,2023-12-17 15:02:34.747726,14,11,2,8,14
3,2023-12-17 15:33:51.101288,14,9,3,6,12
1,2023-12-17 15:33:44.374328,14,6,3,5,14
0,2023-12-17 15:34:03.697713,14,8,3,7,14
2,2023-12-17 15:33:49.102389,14,11,2,8,14
3,2023-12-17 15:38:36.818019,14,7,2,5,12
1,2023-12-17 15:38:25.889457,14,6,3,5,14
0,2023-12-17 15:38:44.418735,14,8,3,7,14
2,2023-12-17 15:38:33.212893,14,10,2,7,14
3,2023-12-17 15:42:54.411733,14,9,3,6,12
1,2023-12-17 15:42:47.645357,14,6,3,5,14
0,2023-12-17 15:43:08.290419,14,8,3,7,14
2,2023-12-17 15:42:52.819226,14,11,2,8,14
3,2023-12-17 15:45:00.938579,14,9,3,6,12
1,2023-12-17 15:44:52.633127,14,6,3,5,14
0,2023-12-17 15:45:12.117538,14,8,3,7,14
2,2023-12-17 15:44:59.188207,14,11,2,8,14
3,2023-12-20 09:35:37.731700,14,11,1,8,14
1,2023-12-20 09:35:29.065335,14,7,4,4,14
0,2023-12-20 09:35:23.673667,14,9,2,9,14
2,2023-12-20 09:35:29.039899,14,13,2,9,14
3,2023-12-20 09:41:10.397990,14,11,1,8,14
1,2023-12-20 09:41:04.270109,14,7,4,4,14
0,2023-12-20 09:40:58.200187,14,9,2,9,14
2,2023-12-20 09:40:59.504729,14,13,2,9,14
3,2023-12-20 09:43:42.129750,14,11,1,8,14
1,2023-12-20 09:43:37.709697,14,7,4,4,14
0,2023-12-20 09:43:32.947559,14,9,2,9,14
2,2023-12-20 09:43:37.593264,14,13,2,9,14
3,2023-12-20 09:58:37.967011,14,11,1,8,14
1,2023-12-20 09:58:33.030338,14,7,4,4,14
0,2023-12-20 09:58:26.925708,14,9,2,9,14
2,2023-12-20 09:58:28.378821,14,13,2,9,14
